Product,2010,2020
Apple (Each),0.37,0.43
Bananas (Per Kilogram),1.51,2.43
Broccoli (Per Kilogram),6.83,5.7
Cabbage (Per Kilogram),1.73,2.34
Carrots (Per Kilogram),1.9,2.03
Cheese (Per 12 Slices),4.76,5.77
Chinese Kale (Kailan) (Per Kilogram),4.02,5.19
Cigarettes (Per Pack),10.66,13.06
Cod Fish (Per Kilogram),39.79,65.63
Cooking Oil (Per 2 Kilogram),5.52,6.21
Diesel (Per Litre),1.22,1.57
Duck. Chilled (Per Kilogram),6.59,7.17
Flowery Grouper (Per Kilogram),13.09,13.75
Fresh Milk (Per Litre),2.76,3.33
Gold Banded Scad (Kuning) (Per Kilogram),5.71,8.21
Golden Snapper (Per Kilogram),15.43,18.79
Grapes (Per Kilogram),7.68,11.18
Hen Eggs (Per 10),1.85,2.4
Infant Milk Powder (Per 100 Gram),3.94,6.16
Instant Coffee (Per 200 Gram),9.33,10.19
Instant Noodles (Per 5 Packets),2.16,2.3
Lean Pork. Chilled (Per Kilogram),12.66,15.32
Liquefied Petroleum Gas (LPG) (Per Kilogram),2.15,2.8
Medium Prawns (Per Kilogram),15.98,20.12
Mutton. Chilled (Per Kilogram),15.12,22.03
Non-aerated Soft Drinks (Per 6 Packets),2.32,2.56
Orange (Each),0.34,0.59
Ordinary White Bread (Per 400 Gram),1.4,1.74
Papaya (Per Kilogram),1.55,2.2
Pear (Each),0.88,1.28
Petrol. 92 Octane (Per Litre),1.69,1.91
Petrol. 95 Octane (Per Litre),1.75,1.95
Petrol. 98 Octane (Per Litre),1.84,2.36
Pork Rib Bones. Chilled (Per Kilogram),15.84,18.51
Potatoes (Per Kilogram),1.59,2.41
Premium Thai Rice (Per 5 Kilogram),12.43,13.75
Salmon (Per Kilogram),25.1,29.83
Sea Bass (Per Kilogram),10.67,11.7
Sea Bream (Ang Ko Li) (Per Kilogram),7.22,9.93
Small Mustard (Chye Sim) (Per Kilogram),2.81,3.98
Small Prawns (Per Kilogram),10.02,15.28
Spanish Mackerel (Batang) (Per Kilogram),10.15,12.95
Spinach (Bayam) (Per Kilogram),2.64,3.57
Squids (Per Kilogram),9.81,17.72
Streaky Pork. Chilled (Per Kilogram),13.62,17.19
Threadfin (Kurau) (Per Kilogram),42.77,60.32
Tomatoes (Per Kilogram),2.03,2.63
Vitamin Enriched Bread (Per 400 Gram),1.63,1.63
Watermelon (Per Kilogram),1.16,1.59
White Pomfret (Per Kilogram),21.85,30.15
White Sugar (Per 2 Kilogram),3.16,3.08
Whole Chicken. Chilled (Per Kilogram),5.54,6.32
